Date,Product_Category,Discount_Percent,Revenue
2019-01-01,Electronics,0,1268.81
2019-01-01,Clothing,0,951.89
2019-01-01,Home & Kitchen,0,717.9
2019-01-02,Electronics,10,1619.05
2019-01-02,Clothing,0,861.91
2019-01-02,Home & Kitchen,0,637.48
2019-01-03,Electronics,0,1118.75
2019-01-03,Clothing,0,1015.04
2019-01-03,Home & Kitchen,10,716.2
2019-01-04,Electronics,0,1305.76
2019-01-04,Clothing,5,903.05
2019-01-04,Home & Kitchen,5,784.27
2019-01-05,Electronics,5,1461.22
2019-01-05,Clothing,0,868.46
2019-01-05,Home & Kitchen,0,629.97
2019-01-06,Electronics,0,1474.74
2019-01-06,Clothing,10,909.84
2019-01-06,Home & Kitchen,5,708.32
2019-01-07,Electronics,0,1357.05
2019-01-07,Clothing,10,1050.93
2019-01-07,Home & Kitchen,0,967.83
2019-01-08,Electronics,0,1499.36
2019-01-08,Clothing,20,1125.86
2019-01-08,Home & Kitchen,20,916.18
2019-01-09,Electronics,0,1279.09
2019-01-09,Clothing,0,761.67
2019-01-09,Home & Kitchen,15,658.83
2019-01-10,Electronics,5,1360.94
2019-01-10,Clothing,0,978.21
2019-01-10,Home & Kitchen,10,847.77
2019-01-11,Electronics,10,1497.28
2019-01-11,Clothing,0,857.65
2019-01-11,Home & Kitchen,15,642.68
2019-01-12,Electronics,0,1489.96
2019-01-12,Clothing,0,1037.97
2019-01-12,Home & Kitchen,10,669.18
2019-01-13,Electronics,15,1483.22
2019-01-13,Clothing,10,1004.42
2019-01-13,Home & Kitchen,10,908.54
2019-01-14,Electronics,5,1482.82
2019-01-14,Clothing,5,926.14
2019-01-14,Home & Kitchen,0,683.91
2019-01-15,Electronics,0,1238.12
2019-01-15,Clothing,5,1070.25
2019-01-15,Home & Kitchen,20,774.56
2019-01-16,Electronics,10,1368.49
2019-01-16,Clothing,0,898.78
2019-01-16,Home & Kitchen,0,647.31
2019-01-17,Electronics,20,1706.14
2019-01-17,Clothing,15,1173.82
2019-01-17,Home & Kitchen,15,930.69
2019-01-18,Electronics,15,1604.56
2019-01-18,Clothing,0,894.34
2019-01-18,Home & Kitchen,5,687.72
2019-01-19,Electronics,15,1321.48
2019-01-19,Clothing,0,954.55
2019-01-19,Home & Kitchen,0,735.29
2019-01-20,Electronics,0,1363.39
2019-01-20,Clothing,5,871.69
2019-01-20,Home & Kitchen,20,968.4
2019-01-21,Electronics,20,1654.14
2019-01-21,Clothing,0,752.65
2019-01-21,Home & Kitchen,0,700.23
2019-01-22,Electronics,5,1405.74
2019-01-22,Clothing,0,967.78
2019-01-22,Home & Kitchen,0,664.1
2019-01-23,Electronics,0,1413.98
2019-01-23,Clothing,0,919.26
2019-01-23,Home & Kitchen,10,681.47
2019-01-24,Electronics,10,1595.31
2019-01-24,Clothing,0,1060.52
2019-01-24,Home & Kitchen,5,863.73
2019-01-25,Electronics,0,1330.66
2019-01-25,Clothing,0,1012.32
2019-01-25,Home & Kitchen,0,860.66
2019-01-26,Electronics,0,1467.36
2019-01-26,Clothing,5,1030.91
2019-01-26,Home & Kitchen,0,567.71
2019-01-27,Electronics,10,1580.05
2019-01-27,Clothing,0,903.91
2019-01-27,Home & Kitchen,0,654.33
2019-01-28,Electronics,10,1573.61
2019-01-28,Clothing,15,1194.39
2019-01-28,Home & Kitchen,0,943.92
2019-01-29,Electronics,0,1236.0
2019-01-29,Clothing,0,1039.07
2019-01-29,Home & Kitchen,10,820.76
2019-01-30,Electronics,0,1501.71
2019-01-30,Clothing,0,942.63
2019-01-30,Home & Kitchen,0,774.74
2019-01-31,Electronics,0,1397.48
2019-01-31,Clothing,10,890.31
2019-01-31,Home & Kitchen,10,832.45
2019-02-01,Electronics,0,1416.32
2019-02-01,Clothing,0,1084.84
2019-02-01,Home & Kitchen,15,996.11
2019-02-02,Electronics,10,1576.18
2019-02-02,Clothing,0,1022.43
2019-02-02,Home & Kitchen,0,843.75
2019-02-03,Electronics,10,1638.99
2019-02-03,Clothing,10,1382.07
2019-02-03,Home & Kitchen,5,803.06
2019-02-04,Electronics,0,1415.47
2019-02-04,Clothing,0,1105.56
2019-02-04,Home & Kitchen,10,819.06
2019-02-05,Electronics,20,1888.16
2019-02-05,Clothing,20,1164.17
2019-02-05,Home & Kitchen,0,833.59
2019-02-06,Electronics,15,1645.93
2019-02-06,Clothing,5,1006.94
2019-02-06,Home & Kitchen,20,970.07
2019-02-07,Electronics,0,1688.06
2019-02-07,Clothing,10,1214.37
2019-02-07,Home & Kitchen,10,836.61
2019-02-08,Electronics,10,1567.05
2019-02-08,Clothing,0,1146.05
2019-02-08,Home & Kitchen,15,899.71
2019-02-09,Electronics,20,1839.84
2019-02-09,Clothing,5,1201.97
2019-02-09,Home & Kitchen,10,832.2
2019-02-10,Electronics,10,1686.18
2019-02-10,Clothing,0,1025.46
2019-02-10,Home & Kitchen,0,772.39
2019-02-11,Electronics,0,1426.18
2019-02-11,Clothing,5,879.39
2019-02-11,Home & Kitchen,5,829.41
2019-02-12,Electronics,0,1422.46
2019-02-12,Clothing,5,1024.76
2019-02-12,Home & Kitchen,10,886.43
2019-02-13,Electronics,0,1384.68
2019-02-13,Clothing,0,1246.75
2019-02-13,Home & Kitchen,10,1015.81
2019-02-14,Electronics,10,1664.46
2019-02-14,Clothing,0,1052.05
2019-02-14,Home & Kitchen,10,787.02
2019-02-15,Electronics,0,1344.86
2019-02-15,Clothing,0,930.66
2019-02-15,Home & Kitchen,0,922.01
2019-02-16,Electronics,0,1543.55
2019-02-16,Clothing,10,947.41
2019-02-16,Home & Kitchen,10,869.2
2019-02-17,Electronics,10,1828.08
2019-02-17,Clothing,5,985.16
2019-02-17,Home & Kitchen,10,703.48
2019-02-18,Electronics,0,1488.03
2019-02-18,Clothing,0,1195.05
2019-02-18,Home & Kitchen,5,664.18
2019-02-19,Electronics,5,1576.85
2019-02-19,Clothing,0,1162.15
2019-02-19,Home & Kitchen,0,888.21
2019-02-20,Electronics,0,1517.62
2019-02-20,Clothing,15,1393.82
2019-02-20,Home & Kitchen,10,811.23
2019-02-21,Electronics,5,1593.45
2019-02-21,Clothing,20,1019.68
2019-02-21,Home & Kitchen,10,959.53
2019-02-22,Electronics,5,1656.04
2019-02-22,Clothing,0,1014.94
2019-02-22,Home & Kitchen,20,858.42
2019-02-23,Electronics,0,1532.53
2019-02-23,Clothing,15,1096.8
2019-02-23,Home & Kitchen,10,795.92
2019-02-24,Electronics,10,1699.15
2019-02-24,Clothing,15,1217.15
2019-02-24,Home & Kitchen,0,811.06
2019-02-25,Electronics,15,1667.52
2019-02-25,Clothing,20,1030.65
2019-02-25,Home & Kitchen,10,709.42
2019-02-26,Electronics,0,1667.06
2019-02-26,Clothing,10,1064.68
2019-02-26,Home & Kitchen,0,757.1
2019-02-27,Electronics,15,1831.63
2019-02-27,Clothing,0,983.92
2019-02-27,Home & Kitchen,0,841.28
2019-02-28,Electronics,20,1787.02
2019-02-28,Clothing,20,1148.11
2019-02-28,Home & Kitchen,20,1098.29
2019-03-01,Electronics,5,1744.52
2019-03-01,Clothing,0,1160.49
2019-03-01,Home & Kitchen,10,738.33
2019-03-02,Electronics,10,1646.09
2019-03-02,Clothing,5,1091.12
2019-03-02,Home & Kitchen,5,788.09
2019-03-03,Electronics,0,1640.38
2019-03-03,Clothing,0,1101.38
2019-03-03,Home & Kitchen,0,915.79
2019-03-04,Electronics,0,1516.67
2019-03-04,Clothing,15,1216.38
2019-03-04,Home & Kitchen,10,973.44
2019-03-05,Electronics,20,1824.26
2019-03-05,Clothing,20,1181.58
2019-03-05,Home & Kitchen,0,916.01
2019-03-06,Electronics,10,1512.29
2019-03-06,Clothing,20,1405.0
2019-03-06,Home & Kitchen,0,749.77
2019-03-07,Electronics,5,1637.54
2019-03-07,Clothing,0,1167.11
2019-03-07,Home & Kitchen,5,896.09
2019-03-08,Electronics,20,1727.44
2019-03-08,Clothing,15,1111.59
2019-03-08,Home & Kitchen,0,786.97
2019-03-09,Electronics,20,1970.35
2019-03-09,Clothing,0,1087.36
2019-03-09,Home & Kitchen,5,824.44
2019-03-10,Electronics,10,1672.81
2019-03-10,Clothing,10,1330.0
2019-03-10,Home & Kitchen,5,807.91
2019-03-11,Electronics,10,1813.63
2019-03-11,Clothing,0,1024.23
2019-03-11,Home & Kitchen,0,644.49
2019-03-12,Electronics,5,1446.73
2019-03-12,Clothing,15,1232.25
2019-03-12,Home & Kitchen,10,932.2
2019-03-13,Electronics,5,1785.67
2019-03-13,Clothing,20,1240.64
2019-03-13,Home & Kitchen,15,868.78
2019-03-14,Electronics,20,1901.55
2019-03-14,Clothing,0,930.27
2019-03-14,Home & Kitchen,20,963.56
2019-03-15,Electronics,5,1665.87
2019-03-15,Clothing,5,1081.14
2019-03-15,Home & Kitchen,15,891.45
2019-03-16,Electronics,15,1945.62
2019-03-16,Clothing,20,1279.25
2019-03-16,Home & Kitchen,15,865.7
2019-03-17,Electronics,0,1400.09
2019-03-17,Clothing,20,1111.14
2019-03-17,Home & Kitchen,10,911.55
2019-03-18,Electronics,10,1633.21
2019-03-18,Clothing,10,1113.61
2019-03-18,Home & Kitchen,5,830.49
2019-03-19,Electronics,15,1949.13
2019-03-19,Clothing,5,1194.66
2019-03-19,Home & Kitchen,5,835.61
2019-03-20,Electronics,0,1708.9
2019-03-20,Clothing,0,1127.78
2019-03-20,Home & Kitchen,0,606.91
2019-03-21,Electronics,5,1782.43
2019-03-21,Clothing,20,1268.01
2019-03-21,Home & Kitchen,10,640.91
2019-03-22,Electronics,0,1658.15
2019-03-22,Clothing,20,1281.07
2019-03-22,Home & Kitchen,0,778.53
2019-03-23,Electronics,0,1639.64
2019-03-23,Clothing,5,1091.38
2019-03-23,Home & Kitchen,0,820.31
2019-03-24,Electronics,10,1703.71
2019-03-24,Clothing,0,1032.47
